task_id,task_type,source_dataset,source_url,split,original_id,complexity_level,domain,task_content,ground_truth_type,ground_truth_source,scoring_rubric_id,answerable_label,license_or_access_note
K-L1-MMLU-0012,knowledge,MMLU/high_school_physics,https://github.com/hendrycks/test,test,8ac081ed79,L1,high_school_physics,"A block is dragged along a table and experiences a frictional force, f, that opposes its movement. The force exerted on the block by the table is
A. zero
B. parallel to the table
C. perpendicular to the table
D. neither parallel nor perpendicular to the table
请只在最终答案中给出 A/B/C/D，并说明必要依据。",single_answer,MMLU answer key: D,RUB-K-MMLU-v1,answerable,Public GitHub benchmark; verify repository license before redistribution.
K-L1-MMLU-0015,knowledge,MMLU/high_school_physics,https://github.com/hendrycks/test,test,fecfbd9883,L1,high_school_physics,"An object is released from rest and falls a distance h during the first second of time. How far will it fall during the next second of time?
A. h
B. 2h
C. 3h
D. 4h
请只在最终答案中给出 A/B/C/D，并说明必要依据。",single_answer,MMLU answer key: C,RUB-K-MMLU-v1,answerable,Public GitHub benchmark; verify repository license before redistribution.
K-L1-MMLU-0013,knowledge,MMLU/high_school_physics,https://github.com/hendrycks/test,test,dc54a7778b,L1,high_school_physics,"A disk of radius 0.1 m initially at rest undergoes an angular acceleration of 2.0 rad/s^2. If the disk only rotates, find the total distance traveled by a point on the rim of the disk in 4.0 s.
A. 0.4 m
B. 0.8 m
C. 1.2 m
D. 1.6 m
请只在最终答案中给出 A/B/C/D，并说明必要依据。",single_answer,MMLU answer key: D,RUB-K-MMLU-v1,answerable,Public GitHub benchmark; verify repository license before redistribution.
K-L1-MMLU-0018,knowledge,MMLU/high_school_physics,https://github.com/hendrycks/test,test,049af9ebcd,L1,high_school_physics,"A proton enters a solenoid. Upon entry, the proton is moving in a straight line along the axis of the solenoid. Which of the following is a correct description of the proton’s motion within the solenoid?
A. The proton will be bent in a parabolic path.
B. The proton will be bent in a circular path.
C. The proton will continue in its straight path at constant velocity.
D. The proton will continue in its straight path and slow down.
请只在最终答案中给出 A/B/C/D，并说明必要依据。",single_answer,MMLU answer key: C,RUB-K-MMLU-v1,answerable,Public GitHub benchmark; verify repository license before redistribution.
K-L1-MMLU-0002,knowledge,MMLU/high_school_physics,https://github.com/hendrycks/test,test,7fa534c8b1,L1,high_school_physics,"Experimenter A uses a very small test charge qo, and experimenter B uses a test charge 2qo to measure an electric field produced by two parallel plates. A finds a field that is
A. greater than the field found by B
B. the same as the field found by B
C. less than the field found by B
D. either greater or less than the field found by B, depending on the accelerations of the test charges
请只在最终答案中给出 A/B/C/D，并说明必要依据。",single_answer,MMLU answer key: B,RUB-K-MMLU-v1,answerable,Public GitHub benchmark; verify repository license before redistribution.
K-L1-MMLU-0005,knowledge,MMLU/high_school_physics,https://github.com/hendrycks/test,test,4e4ef094a0,L1,high_school_physics,"A textbook weighs 30 N at sea level. Earth’s radius is 6,400 km. Which of the following is the best estimate of the textbook’s weight on a mountain peak located 6,000 m above sea level?
A. 60 N
B. 15 N
C. 30 N
D. 7.5 N
请只在最终答案中给出 A/B/C/D，并说明必要依据。",single_answer,MMLU answer key: C,RUB-K-MMLU-v1,answerable,Public GitHub benchmark; verify repository license before redistribution.
K-L1-MMLU-0016,knowledge,MMLU/high_school_physics,https://github.com/hendrycks/test,test,970afea43b,L1,high_school_physics,"A rock drops onto a pond with a smooth surface. A few moments later, the wave produced by the rock’s impact arrives at the shore, touching the ankles of a wading child. Which of the following observations provides evidence that the portion of the wave hitting the child’s ankles carries less energy than the wave did when it was first created by the rock’s impact?
A. The wave is moving more slowly.
B. The wave pulse’s width has become greater.
C. The wave pulse’s width has become smaller.
D. The wave’s height has become smaller.
请只在最终答案中给出 A/B/C/D，并说明必要依据。",single_answer,MMLU answer key: D,RUB-K-MMLU-v1,answerable,Public GitHub benchmark; verify repository license before redistribution.
K-L1-MMLU-0017,knowledge,MMLU/high_school_physics,https://github.com/hendrycks/test,test,e988ad3c7a,L1,high_school_physics,"A cylinder with a movable piston contains a gas at pressure P = 1 × 10^5 Pa, volume V = 20 cm^3, and temperature T = 273 K. The piston is moved downward in a slow steady fashion allowing heat to escape the gas and the temperature to remain constant. If the final volume of the gas is 5 cm^3, what will be the resulting pressure?
A. 0.25 × 10^5 Pa
B. 2 × 10^5 Pa
C. 4 × 10^5 Pa
D. 8 × 10^5 Pa
请只在最终答案中给出 A/B/C/D，并说明必要依据。",single_answer,MMLU answer key: C,RUB-K-MMLU-v1,answerable,Public GitHub benchmark; verify repository license before redistribution.
K-L1-MMLU-0003,knowledge,MMLU/high_school_physics,https://github.com/hendrycks/test,test,88eab4c5c1,L1,high_school_physics,"A ball of mass is attached to a string connected to the ceiling, forming a pendulum. When the string is raised to an angle of 50 degrees below the horizontal (the ceiling) and released, the ball swings back and forth with a period of 0.4 s. Which of the following changes to the pendulum would decrease the period of the pendulum?
A. Increasing the mass of the ball
B. Decreasing the length of the string
C. Decreasing the angle of the string from the horizontal when released
D. Decreasing the mass of the ball
请只在最终答案中给出 A/B/C/D，并说明必要依据。",single_answer,MMLU answer key: B,RUB-K-MMLU-v1,answerable,Public GitHub benchmark; verify repository license before redistribution.
K-L1-MMLU-0001,knowledge,MMLU/high_school_physics,https://github.com/hendrycks/test,test,dd34d53d16,L1,high_school_physics,"Which of the following concerning uniform circular motion is true?
A. The centrifugal force is the action-reaction pair of the centripetal force.
B. The centripetal acceleration and velocity point in the same direction.
C. The velocity of the object in motion changes whereas the acceleration of the object is constant.
D. A satellite undergoing uniform circular motion is falling toward the center in a circular path.
请只在最终答案中给出 A/B/C/D，并说明必要依据。",single_answer,MMLU answer key: D,RUB-K-MMLU-v1,answerable,Public GitHub benchmark; verify repository license before redistribution.
K-L2-MMLU-0032,knowledge,MMLU/professional_medicine,https://github.com/hendrycks/test,test,5668a07528,L2,professional_medicine,"A 37-year-old Anglo-American man is admitted to the hospital for treatment for cocaine dependency. He says he has tried repeatedly to abstain from cocaine use but lives in a part of town where there are heavy drug sales. He did not like his hospital outpatient group but liked his single session at Cocaine Anonymous. Vital signs are temperature 37.0°C (98.6°F), pulse 70/min, respirations 16/min, and blood pressure 125/85 mm Hg. Physical examination shows a thin man with good muscle strength and no focal neurologic deficits. The patient is using insurance coverage through his wife but does not wish for his diagnosis to be disclosed to anyone. He is on probation after a conviction for aggravated robbery 3 years ago. There is also a warrant for his arrest for assault and battery. After listening to his requests and weighing your obligations, you should disclose this patient's diagnosis only to which of the following?
A. His Cocaine Anonymous sponsor
B. His probation officer
C. His wife
D. Insurance company
请只在最终答案中给出 A/B/C/D，并说明必要依据。",single_answer,MMLU answer key: D,RUB-K-MMLU-v1,answerable,Public GitHub benchmark; verify repository license before redistribution.
K-L2-MMLU-0040,knowledge,MMLU/professional_medicine,https://github.com/hendrycks/test,test,5926abed54,L2,professional_medicine,"A 72-year-old woman with advanced ovarian cancer metastatic to the liver is brought to the physician by her son because she cries all the time and will not get out of bed. On a 10-point scale, she rates the pain as a 1 to 2. She also has hypertension and major depressive disorder. She has received chemotherapy for 2 years. Current medications also include oxycodone (10 mg twice daily), hydrochlorothiazide (25 mg/d), and fluoxetine (20 mg/d). She is 165 cm (5 ft 5 in) tall and weighs 66 kg (145 lb); BMI is 24 kg/m2 . Her temperature is 37°C (98.6°F), pulse is 110/min, respirations are 12/min, and blood pressure is 120/80 mm Hg. Examination shows a firm, distended abdomen with moderate tenderness over the liver. On mental status examination, she is oriented to person, place, and time. She has good eye contact but appears sad and cries easily. Which of the following is the most appropriate next step in management?
A. Reassurance
B. Assess for suicidal ideation
C. Begin dextroamphetamine therapy
D. Increase oxycodone dosage
请只在最终答案中给出 A/B/C/D，并说明必要依据。",single_answer,MMLU answer key: B,RUB-K-MMLU-v1,answerable,Public GitHub benchmark; verify repository license before redistribution.
